year,united_states,russia,iran,china,canada,afghanistan,albania,algeria,angola,argentina,australia,austria,azerbaijan,bahrain,bangladesh,barbados,belarus,belgium,bolivia,bosnia_and_herzegovina,brazil,brunei,bulgaria,cameroon,chile,colombia,congo,cote_divoire,croatia,cuba,czechia,czechoslovakia,denmark,east_timor,ecuador,egypt,equatorial_guinea,france,gabon,georgia,germany,ghana,greece,hungary,india,indonesia,iraq,ireland,israel,italy,japan,jordan,kazakhstan,kuwait,kyrgyzstan,libya,malaysia,mexico,moldova,morocco,mozambique,myanmar,netherlands,new_zealand,nigeria,norway,oman,pakistan,papua_new_guinea,peru,philippines,poland,qatar,romania,saudi_arabia,senegal,serbia,slovakia,slovenia,south_africa,south_korea,spain,switzerland,syria,taiwan,tajikistan,tanzania,thailand,trinidad_and_tobago,tunisia,turkey,turkmenistan,ussr,ukraine,united_arab_emirates,united_kingdom,uzbekistan,venezuela,vietnam,world,yemen,yugoslavia
1900,0.26582551,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.26582551,,0
1901,0.29458103,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.29458103,,0
1902,0.32333653,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.32333653,,0
1903,0.35209204,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.35209204,,0
1904,0.38084755,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.38084755,,0
1905,0.40960305,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.40960305,,0
1906,0.43835856,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.43835856,,0
1907,0.46711404,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.46711404,,0
1908,0.49586958,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.49586958,,0
1909,0.52462508,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.52462508,,0
